search URL:,https://patents.google.com/?q=%28%22vector+field%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11747413-B2,Methods and systems for fast field zeroing for magnetoencephalography (MEG) ,Hi Llc,Micah LEDBETTER,2019-09-03,2020-08-27,2023-09-05,2023-09-05,https://patents.google.com/patent/US11747413B2/en,https://patentimages.storage.googleapis.com/da/59/7e/8663e5a9a1792d/US11747413-20230905-D00000.png
US-11178422-B2,Sub-block based decoder side motion vector derivation ,"Beijing Bytedance Network Technology Co., Ltd., Bytedance Inc.","Hongbin Liu, Li Zhang, Kai Zhang, Yue Wang",2018-10-22,2020-11-02,2021-11-16,2021-11-16,https://patents.google.com/patent/US11178422B2/en,https://patentimages.storage.googleapis.com/14/26/19/ce748269dc8e24/US11178422-20211116-D00000.png
US-10636149-B2,Devices for refractive field visualization ,Massachusetts Institute Of Technology,"William T. Freeman, Frederic Durand, Tianfan Xue, Michael Rubinstein, Neal Wadhwa",2013-05-15,2017-11-21,2020-04-28,2020-04-28,https://patents.google.com/patent/US10636149B2/en,https://patentimages.storage.googleapis.com/3a/d7/c0/23c0f9a003ad32/US10636149-20200428-D00000.png
US-11226193-B2,Light field display metrology ,"Magic Leap, Inc.","Ivan Li Chuen YEOH, Lionel Ernest Edwin, Samuel A. Miller",2015-11-04,2019-06-28,2022-01-18,2022-01-18,https://patents.google.com/patent/US11226193B2/en,https://patentimages.storage.googleapis.com/09/94/c6/1779a4202de680/US11226193-20220118-D00000.png
US-11570462-B2,Delta motion vector in prediction refinement with optical flow process ,"Beijing Bytedance Network Technology Co., Ltd., Bytedance Inc.","Kai Zhang, Li Zhang, Hongbin Liu, Yue Wang",2019-04-19,2021-08-03,2023-01-31,2023-01-31,https://patents.google.com/patent/US11570462B2/en,https://patentimages.storage.googleapis.com/e3/d9/11/b5e9e5314f3946/US11570462-20230131-D00000.png
US-8737472-B2,Motion vector regions ,Dolby Laboratories Licensing Corporation,Gary A. Demos,2001-07-11,2013-08-07,2014-05-27,2014-05-27,https://patents.google.com/patent/US8737472B2/en,https://patentimages.storage.googleapis.com/a1/ee/2d/d59098981a5d11/US08737472-20140527-D00000.png
US-10322294-B2,Systems and methods for vector stimulation in medical treatment ,Michael Sasha John,Michael Sasha John,2005-01-21,2014-09-01,2019-06-18,2019-06-18,https://patents.google.com/patent/US10322294B2/en,https://patentimages.storage.googleapis.com/90/61/b3/d229fda82b4ad4/US10322294-20190618-D00000.png
US-11689740-B2,Motion vector prediction ,Qualcomm Incorporated,"Yi-Wen Chen, Wei-Jung Chien, Yu-Chen Sun, Li Zhang, Sungwon Lee, Xiang Li, Hsiao-Chiang Chuang, Jianle Chen, Vadim SEREGIN, Marta Karczewicz",2017-06-13,2021-11-10,2023-06-27,2023-06-27,https://patents.google.com/patent/US11689740B2/en,https://patentimages.storage.googleapis.com/ee/12/bc/70386bc4cce19a/US11689740-20230627-D00000.png
US-11432805-B2,Estimation and display for vector doppler imaging using plane wave transmissions ,"Verasonics, Inc.","John Flynn, Ronald Elvin Daigle",2011-10-19,2019-09-04,2022-09-06,2022-09-06,https://patents.google.com/patent/US11432805B2/en,https://patentimages.storage.googleapis.com/dc/fb/12/b46c5bbfd64e54/US11432805-20220906-D00000.png
US-11356697-B2,Gradient calculation in different motion vector refinements ,"Beijing Bytedance Network Technology Co., Ltd., Bytedance Inc.","Kai Zhang, Li Zhang, Hongbin Liu, Yue Wang",2019-04-19,2021-08-03,2022-06-07,2022-06-07,https://patents.google.com/patent/US11356697B2/en,https://patentimages.storage.googleapis.com/dd/8f/2f/83c2d5cea011a8/US11356697-20220607-D00000.png
US-11653022-B2,Method and apparatus for processing video signal based on history based motion vector prediction ,Lg Electronics Inc.,"Jane Zhao, Seunghwan Kim",2018-12-12,2022-09-09,2023-05-16,2023-05-16,https://patents.google.com/patent/US11653022B2/en,https://patentimages.storage.googleapis.com/e4/9a/7b/dd4b5833154135/US11653022-20230516-D00000.png
US-10931969-B2,Motion vector reconstructions for bi-directional optical flow (BIO) ,Qualcomm Incorporated,"Yi-Wen Chen, Hsiao-Chiang Chuang, Xiang Li, Li Zhang, Wei-Jung Chien, Jianle Chen, Marta Karczewicz",2017-01-04,2018-01-03,2021-02-23,2021-02-23,https://patents.google.com/patent/US10931969B2/en,https://patentimages.storage.googleapis.com/04/2f/a3/fb53afacdd3c69/US10931969-20210223-D00000.png
US-10863170-B2,"Apparatus, a method and a computer program for video coding and decoding on the basis of a motion vector ",Nokia Technologies Oy,"Dmytro Rusanovskyy, Miska Matias Hannuksela, Jani Lainema",2012-04-16,2013-04-16,2020-12-08,2020-12-08,https://patents.google.com/patent/US10863170B2/en,https://patentimages.storage.googleapis.com/8e/da/2d/b531b40cc60157/US10863170-20201208-D00000.png
US-10009615-B2,Method and apparatus for vector encoding in video coding and decoding ,Canon Kabushiki Kaisha,"Christophe Gisquet, Guillaume Laroche, Patrice Onno",2014-10-06,2015-10-02,2018-06-26,2018-06-26,https://patents.google.com/patent/US10009615B2/en,https://patentimages.storage.googleapis.com/51/f1/b8/e55008d26f6e9b/US10009615-20180626-D00000.png
US-11477458-B2,Mode dependent motion vector difference precision set ,"Beijing Bytedance Network Technology Co., Ltd., Bytedance Inc.","Hongbin Liu, Li Zhang, Kai Zhang, Yue Wang",2018-06-19,2020-07-28,2022-10-18,2022-10-18,https://patents.google.com/patent/US11477458B2/en,https://patentimages.storage.googleapis.com/5d/60/b4/fb25b5b0c043dd/US11477458-20221018-D00000.png
US-8675736-B2,Motion vector processing ,Qualcomm Incorporated,"Ai-Mei Huang, Chia-Yuan Teng",2009-05-14,2010-05-13,2014-03-18,2014-03-18,https://patents.google.com/patent/US8675736B2/en,https://patentimages.storage.googleapis.com/4a/a3/a7/6110818a7a892d/US08675736-20140318-D00000.png
US-11051037-B2,Method and apparatus for vector encoding in video coding and decoding ,Canon Kabushiki Kaisha,"Guillaume Laroche, Christophe Gisquet, Patrice Onno",2014-10-06,2015-10-06,2021-06-29,2021-06-29,https://patents.google.com/patent/US11051037B2/en,https://patentimages.storage.googleapis.com/dc/68/c6/7400c2385b952e/US11051037-20210629-D00000.png
US-11509929-B2,Multi-iteration motion vector refinement method for video processing ,"Beijing Byedance Network Technology Co., Ltd., Bytedance Inc.","Hongbin Liu, Li Zhang, Kai Zhang, Yue Wang",2018-10-22,2021-04-08,2022-11-22,2022-11-22,https://patents.google.com/patent/US11509929B2/en,https://patentimages.storage.googleapis.com/34/8c/68/c25bb1bfde129a/US11509929-20221122-D00000.png
US-10379853-B2,Sliding window encoding methods for executing vector compare instructions to write distance and match information to different sections of the same register ,Intel Corporation,"Vinodh Gopal, James D. Guilford, Gilbert M. Wolrich",2012-12-28,2016-11-08,2019-08-13,2019-08-13,https://patents.google.com/patent/US10379853B2/en,https://patentimages.storage.googleapis.com/1a/ff/06/54a2216fb993b3/US10379853-20190813-D00000.png
